name;article;product_code;availability;image
AS02PU-A - Модуль позиционирования для ПЛК AS,1 вход A+/A-, B+/B-, Z+/Z- 5-24 VDC 200 кГц;AS02PU-A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360LA-R200 - Температурный контроллер 96x96 мм, аналоговый выход (0...10 В), питание 80-260 В AC;DT360LA-R200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360LA - Температурный контроллер 96x96 мм, аналоговый выход (0...10 В), питание 80-260 В AC;DT360LA;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CD-0200 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 24 В DC;DT360CD-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-V220 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-V220;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-V211 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-V211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-V200 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-V200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-R220 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-R220;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-R211 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-R211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-R200 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-R200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360CA-0200 - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
